ID,Sector,Stream,Course,Qualification,Career,Salary_LPA,Demand_2025
233,Cybersecurity,Science (PCB),BDS,10+2 + NEET,Incident Responder (Cybersecurity) Variant 153,23.5,High
234,Finance & Commerce,Science (PCM),B.Tech Civil,10+2 + JEE,Actuary (Finance & Commerce) Variant 154,20.8,Stable
235,AI & ML,Science (PCM),B.Sc Data Science,10+2 + CLAT,Prompt Engineer (AI & ML) Variant 155,24.5,Evergreen
236,Cybersecurity,Science (PCB),B.Pharma,10+2 + NEET,Incident Responder (Cybersecurity) Variant 156,17.6,Emerging
237,Government & Defense,Science (PCM),B.Tech Mechanical,10+2 + JEE,Policy Maker (Government & Defense) Variant 157,9.1,Growing
238,Arts & Humanities,Science (PCM),B.Tech Mechanical,10+2 + JEE,Historian (Arts & Humanities) Variant 158,8.8,Growing
239,AI & ML,Commerce,BA Psychology,10+2 + Bachelor's,Machine Learning Engineer (AI & ML) Variant 159,8.9,Evergreen
240,Agriculture & Allied,Science (PCB),B.Sc Nursing,10+2 + NEET,Agri-Business Manager (Agriculture & Allied) Variant 160,7.8,Stable
241,Law,Science (PCM),B.Tech CSE,10+2 + JEE,Corporate Lawyer (Law) Variant 161,4.2,Evergreen
242,Science & Research,Science (PCM),B.Pharma,10+2 + NEET,Physicist (Science & Research) Variant 162,15.0,Emerging
243,Space Tech,Any Stream,LLB,10+2 + Diploma,Space Engineer (Space Tech) Variant 163,17.7,High
244,Arts & Humanities,Science (PCB),B.Sc Nursing,10+2 + NEET,Philosopher (Arts & Humanities) Variant 164,15.0,Growing
245,Healthcare,Science (PCM),B.Tech Civil,10+2 + JEE,Medical Researcher (Healthcare) Variant 165,3.8,Stable
246,AI & ML,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Prompt Engineer (AI & ML) Variant 166,15.0,High
247,Hospitality & Travel,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Hotel Manager (Hospitality & Travel) Variant 167,7.2,Emerging
248,Engineering,Commerce,B.Com,10+2 + Bachelor's,Electrical Engineer (Engineering) Variant 168,15.0,Emerging
249,IT & Technology,Science (PCB),B.Sc Nursing,10+2 + NEET,Data Scientist (IT & Technology) Variant 169,16.4,Growing
250,AI & ML,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Metaverse Designer (AI & ML) Variant 170,16.6,High
251,FinTech,Science (PCB),BDS,10+2 + NEET,Blockchain Specialist (FinTech) Variant 171,5.6,Stable
252,AI & ML,Science (PCB),BDS,10+2 + NEET,AI Researcher (AI & ML) Variant 172,9.8,High
253,FinTech,Science (PCB),BDS,10+2 + NEET,Blockchain Specialist (FinTech) Variant 173,3.1,Growing
254,Green Energy,Science (PCB),MBBS,10+2 + NEET,Sustainability Consultant (Green Energy) Variant 174,11.3,Evergreen
255,Healthcare,Science (PCM/CS),B.Sc Data Science,Bachelor's + Cert,Pharmacist (Healthcare) Variant 175,12.9,High
256,Healthcare,Any Stream,B.Com,10+2 + CLAT,Genetic Counselor (Healthcare) Variant 176,19.6,Growing
257,Government & Defense,Any Stream,B.Com,Bachelor's + UPSC,Policy Maker (Government & Defense) Variant 177,19.7,Emerging
258,Green Energy,Science (PCM),B.Tech Civil,10+2 + JEE,Renewable Energy Engineer (Green Energy) Variant 178,16.4,High
259,IT & Technology,Arts,BHM,10+2 + Bachelor's,Blockchain Developer (IT & Technology) Variant 179,9.6,Stable
260,Green Energy,Science (PCM/CS),B.Tech CSE,10+2 + JEE,Renewable Energy Engineer (Green Energy) Variant 180,14.5,Stable
261,Healthcare,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Pharmacist (Healthcare) Variant 181,8.2,Emerging
262,Management,Science (PCB),B.Sc Nursing,10+2 + NEET,Startup Founder (Management) Variant 182,16.1,Stable
263,Space Tech,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Astronaut Trainer (Space Tech) Variant 183,8.0,High
264,Healthcare,Science (PCB),MBBS,10+2 + NEET,Physiotherapist (Healthcare) Variant 184,3.3,Evergreen
265,Education,Science (PCM),B.Pharma,10+2 + NEET,Educational Consultant (Education) Variant 185,20.0,Evergreen
266,Healthcare,Any Stream,BA Psychology,10+2 + Bachelor's,Genetic Counselor (Healthcare) Variant 186,8.2,Growing
267,Media & Design,Any Stream,BA Psychology,10+2 + Bachelor's,Graphic Designer (Media & Design) Variant 187,5.0,Growing
268,Gig Economy,Science (PCM),B.Sc Data Science,10+2 + Diploma,Freelancer (Gig Economy),23.7,Emerging
269,Finance & Commerce,Science (PCB),B.Sc Nursing,10+2 + NEET,Tax Consultant (Finance & Commerce) Variant 188,13.4,Evergreen
270,AI & ML,Science (PCB),B.Pharma,10+2 + NEET,AI Researcher (AI & ML) Variant 172,8.1,Stable
271,Space Tech,Arts,BHM,Bachelor's + Cert,Drone Pilot (Space Tech) Variant 190,5.0,High
272,Finance & Commerce,Science (PCM),B.Sc Data Science,10+2 + Bachelor's,Financial Analyst (Finance & Commerce) Variant 191,24.2,Stable
273,Arts & Humanities,Arts,BA Psychology,Bachelor's + UPSC,Philosopher (Arts & Humanities) Variant 192,4.1,Stable
274,Green Energy,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Renewable Energy Engineer (Green Energy) Variant 193,23.7,High
275,E-Commerce,Any Stream,BA Psychology,Bachelor's + UPSC,Online Retail Specialist (E-Commerce) Variant 194,19.9,Emerging
276,Education,Science (PCB),BDS,10+2 + NEET,Professor (Education) Variant 195,22.8,Stable
277,Finance & Commerce,Any Stream,LLB,Bachelor's + UPSC,Actuary (Finance & Commerce) Variant 196,13.9,High
278,Green Energy,Science (PCB),MBBS,10+2 + NEET,Sustainability Consultant (Green Energy) Variant 197,21.2,Evergreen
279,Healthcare,Science (PCM),B.Tech Mechanical,10+2 + JEE,Pharmacist (Healthcare) Variant 198,11.8,Growing
280,Education,Commerce,B.Com,10+2 + Bachelor's,Teacher (Education) Variant 199,10.0,Growing
281,Science & Research,Commerce,BA Psychology,10+2 + CLAT,Chemist (Science & Research) Variant 200,22.0,High
282,Science & Research,Science (PCM),B.Pharma,10+2 + NEET,Chemist (Science & Research) Variant 201,22.5,Evergreen
283,FinTech,Science (PCM),B.Sc Data Science,Bachelor's + Cert,Blockchain Specialist (FinTech) Variant 202,9.3,Evergreen
284,Education,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Teacher (Education) Variant 203,14.8,High
285,Space Tech,Arts,BHM,10+2 + Bachelor's,Drone Pilot (Space Tech) Variant 204,3.8,Stable
286,Science & Research,Any Stream,BA Psychology,10+2 + CLAT,Biotechnologist (Science & Research) Variant 205,9.4,High
287,Education,Science (PCM),B.Sc Data Science,10+2 + CLAT,Professor (Education) Variant 206,23.2,Evergreen
288,Education,Arts,BHM,10+2 + Diploma,Professor (Education) Variant 206,23.2,Evergreen
289,Healthcare,Science (PCM),B.Tech Aerospace,10+2 + JEE,Medical Researcher (Healthcare) Variant 208,5.8,Stable
290,Law,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Lawyer (Law) Variant 209,19.1,Emerging
291,Agriculture & Allied,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Farm Manager (Agriculture & Allied) Variant 210,16.1,Emerging
292,Government & Defense,Science (PCM),B.Tech Civil,10+2 + JEE,Civil Servant (Government & Defense) Variant 211,4.4,High
293,Engineering,Commerce,B.Com,10+2 + Bachelor's,EV Designer (Engineering) Variant 212,8.1,Growing
294,Media & Design,Science (PCM),B.Pharma,10+2 + NEET,Graphic Designer (Media & Design) Variant 213,11.2,Stable
295,Space Tech,Science (PCB),BDS,10+2 + NEET,Astronaut Trainer (Space Tech) Variant 214,8.1,Stable
296,Gig Economy,Science (PCM),B.Tech Aerospace,10+2 + JEE,Gig Worker Coordinator (Gig Economy) Variant 135,19.7,Stable
297,Agriculture & Allied,Science (PCB),B.Sc Nursing,10+2 + NEET,Agricultural Engineer (Agriculture & Allied) Variant 216,16.4,Emerging
298,Agriculture & Allied,Science (PCB),B.Sc Nursing,10+2 + NEET,Farm Manager (Agriculture & Allied) Variant 217,24.0,Evergreen
299,Gig Economy,Any Stream,LLB,Bachelor's + CLAT,Freelancer (Gig Economy) Variant 218,23.3,High
300,Engineering,Science (PCB),BDS,10+2 + NEET,Aerospace Engineer (Engineering) Variant 219,9.4,Emerging
301,FinTech,Any Stream,LLB,Bachelor's + Cert,Digital Banker (FinTech) Variant 220,16.4,Stable
302,Engineering,Science (PCB),B.Sc Nursing,10+2 + NEET,Robotics Engineer (Engineering) Variant 221,22.6,Stable
303,Law,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Corporate Lawyer (Law) Variant 222,16.4,Growing
304,E-Commerce,Any Stream,B.Com,Bachelor's + Cert,Supply Chain Analyst (E-Commerce) Variant 223,7.0,Evergreen
305,Cybersecurity,Science (PCM),B.Tech Civil,10+2 + JEE,Incident Responder (Cybersecurity) Variant 224,3.9,Stable
306,Management,Any Stream,BA Psychology,10+2 + Bachelor's,Supply Chain Manager (Management) Variant 225,23.9,Evergreen
307,Green Energy,Science (PCM),B.Tech Aerospace,10+2 + JEE,Environmental Analyst (Green Energy) Variant 226,15.1,Stable
308,FinTech,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,FinTech Developer (FinTech) Variant 227,9.1,Stable
309,Management,Any Stream,LLB,10+2 + Diploma,HR Manager (Management),10.4,Growing
310,Education,Science (PCB),MBBS,10+2 + NEET,Professor (Education) Variant 228,12.3,High
311,Management,Science (PCB),BDS,10+2 + NEET,HR Manager (Management) Variant 229,10.8,Emerging
312,Law,Science (PCB),B.Sc Nursing,10+2 + NEET,Lawyer (Law) Variant 230,8.1,Emerging
313,FinTech,Science (PCB),MBBS,10+2 + NEET,Blockchain Specialist (FinTech) Variant 231,14.3,Stable
314,Finance & Commerce,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Forensic Accountant (Finance & Commerce) Variant 232,10.0,Growing
315,Healthcare,Any Stream,LLB,Bachelor's + CLAT,Pharmacist (Healthcare) Variant 233,6.5,High
316,Gig Economy,Science (PCM),B.Tech Aerospace,10+2 + JEE,Freelancer (Gig Economy) Variant 234,6.3,High
317,Law,Any Stream,B.Com,10+2 + CLAT,Lawyer (Law) Variant 235,7.1,Evergreen
318,Hospitality & Travel,Science (PCB),B.Sc Data Science,10+2 + Diploma,Chef (Hospitality & Travel) Variant 237,18.9,Evergreen
319,Media & Design,Science (PCM/CS),B.Tech CSE,10+2 + JEE,Content Creator (Media & Design) Variant 237,18.9,Evergreen
320,Finance & Commerce,Science (PCB),B.Sc Nursing,10+2 + NEET,Tax Consultant (Finance & Commerce) Variant 238,12.7,Stable
321,AI & ML,Science (PCB),B.Sc Data Science,10+2 + Bachelor's,AI Researcher (AI & ML) Variant 239,6.3,Stable
322,FinTech,Arts,BA Psychology,Bachelor's + UPSC,Blockchain Specialist (FinTech) Variant 240,20.6,Stable
323,Engineering,Science (PCM),B.Sc Data Science,Bachelor's + UPSC,Aerospace Engineer (Engineering) Variant 241,18.0,Growing
324,Hospitality & Travel,Science (PCM),B.Tech Civil,10+2 + JEE,Event Planner (Hospitality & Travel) Variant 242,20.1,Growing
325,Government & Defense,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Policy Maker (Government & Defense) Variant 243,18.9,High
326,Arts & Humanities,Science (PCM),B.Tech Civil,10+2 + JEE,Philosopher (Arts & Humanities) Variant 244,16.3,Emerging
327,Space Tech,Commerce,B.Com,10+2 + Bachelor's,Space Engineer (Space Tech) Variant 245,18.4,Growing
328,E-Commerce,Commerce,B.Com,Bachelor's + UPSC,E-Commerce Manager (E-Commerce) Variant 246,8.1,High
329,Science & Research,Any Stream,LLB,Bachelor's + CLAT,Physicist (Science & Research) Variant 247,23.4,Stable
330,Healthcare,Science (PCB),B.Sc Nursing,10+2 + NEET,Genetic Counselor (Healthcare) Variant 248,20.5,Growing
331,Law,Any Stream,LLB,Bachelor's + CLAT,Judge (Law) Variant 249,9.1,Emerging
332,Hospitality & Travel,Science (PCM),B.Tech Civil,10+2 + JEE,Event Planner (Hospitality & Travel) Variant 250,22.9,High
333,Space Tech,Science (PCB),B.Sc Nursing,10+2 + NEET,Drone Pilot (Space Tech) Variant 251,20.7,Growing
334,Law,Science (PCM),B.Tech Aerospace,10+2 + JEE,Legal Advisor (Law) Variant 252,6.8,Growing
335,FinTech,Science (PCM/CS),B.Tech CSE,10+2 + JEE,Digital Banker (FinTech) Variant 253,20.5,Evergreen
336,Cybersecurity,Science (PCB),BDS,10+2 + NEET,Security Analyst (Cybersecurity) Variant 254,16.0,Stable
337,Arts & Humanities,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Writer (Arts & Humanities) Variant 255,9.5,Stable
338,FinTech,Science (PCM),B.Tech Aerospace,10+2 + JEE,Blockchain Specialist (FinTech) Variant 256,5.5,Evergreen
339,Management,Science (PCB),BDS,10+2 + NEET,Supply Chain Manager (Management) Variant 257,9.9,High
340,Cybersecurity,Science (PCM),B.Tech Mechanical,10+2 + JEE,Security Analyst (Cybersecurity) Variant 258,7.8,High
341,E-Commerce,Any Stream,LLB,Bachelor's + CLAT,Online Retail Specialist (E-Commerce) Variant 259,23.2,Evergreen
342,Science & Research,Science (PCM),B.Tech Civil,10+2 + JEE,Physicist (Science & Research) Variant 260,4.8,Growing
343,FinTech,Science (PCM),B.Tech Mechanical,10+2 + JEE,Blockchain Specialist (FinTech) Variant 261,21.6,Evergreen
344,Education,Commerce,BA Psychology,10+2 + CLAT,Professor (Education) Variant 262,7.0,Stable
345,IT & Technology,Science (PCB),MBBS,10+2 + NEET,Blockchain Developer (IT & Technology) Variant 263,21.1,Emerging
346,Engineering,Science (PCM/CS),B.Tech CSE,10+2 + JEE,Aerospace Engineer (Engineering) Variant 264,24.8,Emerging
347,Agriculture & Allied,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Farm Manager (Agriculture & Allied) Variant 265,17.5,High
348,Media & Design,Any Stream,BA Psychology,10+2 + Bachelor's,Graphic Designer (Media & Design) Variant 266,14.7,High
349,Media & Design,Science (PCM),B.Tech Civil,10+2 + JEE,Journalist (Media & Design) Variant 267,11.6,Evergreen
350,Education,Science (PCM),B.Sc Data Science,10+2 + Diploma,Educational Consultant (Education) Variant 268,24.1,Evergreen
351,Finance & Commerce,Any Stream,BA Psychology,Bachelor's + UPSC,Financial Analyst (Finance & Commerce) Variant 269,13.6,Evergreen
352,Hospitality & Travel,Science (PCM),B.Tech CSE,10+2 + JEE,Hotel Manager (Hospitality & Travel) Variant 270,14.4,Evergreen
353,Education,Science (PCM),MBBS,10+2 + NEET,Professor (Education) Variant 271,16.7,Growing
354,Arts & Humanities,Science (PCM),B.Tech Civil,10+2 + JEE,Writer (Arts & Humanities) Variant 272,5.5,Stable
355,E-Commerce,Science (PCM),B.Pharma,10+2 + NEET,E-Commerce Manager (E-Commerce) Variant 273,11.7,Emerging
356,AI & ML,Science (PCM),B.Tech Civil,10+2 + JEE,AI Researcher (AI & ML) Variant 274,16.0,High
357,Finance & Commerce,Any Stream,LLB,Bachelor's + UPSC,ESG Analyst (Finance & Commerce) Variant 275,18.7,High
358,Media & Design,Commerce,BA Psychology,10+2 + Bachelor's,Content Creator (Media & Design) Variant 276,6.7,Growing
359,FinTech,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Blockchain Specialist (FinTech) Variant 277,17.2,Stable
360,Gig Economy,Science (PCM),B.Tech Civil,10+2 + JEE,Freelancer (Gig Economy) Variant 278,14.4,Growing
361,Education,Science (PCM/CS),B.Sc Data Science,10+2 + Bachelor's,Educational Consultant (Education) Variant 279,12.1,Evergreen
362,Healthcare,Science (PCM),B.Sc Data Science,10+2 + CLAT,Nurse (Healthcare) Variant 280,10.6,Stable
363,Gig Economy,Science (PCM/CS),B.Sc Data Science,10+2 + Diploma,Gig Worker Coordinator (Gig Economy) Variant 281,7.3,Evergreen
364,Science & Research,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Research Scientist (Science & Research) Variant 282,9.3,Evergreen
365,Agriculture & Allied,Science (PCB),MBBS,10+2 + NEET,Farm Manager (Agriculture & Allied) Variant 283,17.4,Evergreen
366,Space Tech,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Satellite Technician (Space Tech) Variant 284,18.8,Stable
367,E-Commerce,Any Stream,BA Psychology,Bachelor's + UPSC,Digital Marketer (E-Commerce) Variant 285,15.8,Growing
368,Gig Economy,Arts,BHM,10+2 + Bachelor's,Platform Developer (Gig Economy) Variant 286,14.4,Stable
369,Arts & Humanities,Science (PCM),B.Pharma,10+2 + NEET,Historian (Arts & Humanities) Variant 287,7.6,Stable
370,Government & Defense,Science (PCM/CS),B.Sc Data Science,Bachelor's + UPSC,Policy Maker (Government & Defense) Variant 288,18.5,High
371,Government & Defense,Science (PCM),B.Tech Mechanical,10+2 + JEE,Policy Maker (Government & Defense) Variant 289,22.9,Evergreen
372,Law,Any Stream,B.Com,10+2 + CLAT,Legal Advisor (Law) Variant 290,16.7,Emerging
373,FinTech,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,FinTech Developer (FinTech) Variant 291,23.9,Emerging
374,Hospitality & Travel,Science (PCM),B.Tech Aerospace,10+2 + JEE,Event Planner (Hospitality & Travel) Variant 292,4.8,Stable
375,E-Commerce,Science (PCM),B.Sc Data Science,10+2 + Bachelor's,Supply Chain Analyst (E-Commerce) Variant 293,13.2,High
376,Engineering,Science (PCM/CS),B.Sc Data Science,Bachelor's + Cert,3D Printing Specialist (Engineering),7.8,Growing
377,IT & Technology,Any Stream,LLB,10+2 + Diploma,Full-Stack Developer (IT & Technology) Variant 294,11.9,Evergreen
378,Law,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Lawyer (Law) Variant 295,14.1,High
379,Science & Research,Science (PCB),B.Sc Nursing,10+2 + NEET,Research Scientist (Science & Research) Variant 296,16.6,Emerging
380,Healthcare,Any Stream,LLB,Bachelor's + Cert,Ayurvedic Doctor (Healthcare) Variant 297,22.9,Stable
381,IT & Technology,Science (PCM),B.Tech Aerospace,10+2 + JEE,AI Engineer (IT & Technology) Variant 298,20.8,Stable
382,Hospitality & Travel,Commerce,B.Com,Bachelor's + UPSC,Travel Agent (Hospitality & Travel) Variant 299,20.9,High
383,Cybersecurity,Science (PCM),B.Tech Civil,10+2 + JEE,Ethical Hacker (Cybersecurity) Variant 300,13.2,Evergreen
384,Healthcare,Science (PCM),B.Pharma,10+2 + NEET,Ayurvedic Doctor (Healthcare) Variant 301,13.6,Growing
385,Healthcare,Science (PCM),B.Pharma,10+2 + NEET,Physiotherapist (Healthcare) Variant 302,12.0,Emerging
386,Hospitality & Travel,Science (PCB),B.Sc Nursing,10+2 + NEET,Chef (Hospitality & Travel) Variant 303,12.9,High
387,IT & Technology,Commerce,B.Com,Bachelor's + Cert,Blockchain Developer (IT & Technology) Variant 304,23.7,High
388,E-Commerce,Science (PCM),B.Tech Civil,10+2 + JEE,Digital Marketer (E-Commerce) Variant 305,11.0,Growing
389,Cybersecurity,Science (PCB),BDS,10+2 + NEET,Ethical Hacker (Cybersecurity) Variant 306,21.0,Growing
390,Cybersecurity,Any Stream,LLB,Bachelor's + CLAT,Security Analyst (Cybersecurity) Variant 307,11.4,Emerging
391,FinTech,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,FinTech Developer (FinTech) Variant 308,9.0,Stable
392,Hospitality & Travel,Science (PCM),B.Tech Civil,10+2 + JEE,Travel Agent (Hospitality & Travel) Variant 309,20.7,Stable
393,Management,Commerce,B.Com,10+2 + Bachelor's,Operations Manager (Management),15.3,Growing
394,Law,Science (PCM),B.Pharma,10+2 + NEET,Criminal Lawyer (Law) Variant 310,6.7,Emerging
395,Space Tech,Arts,BHM,10+2 + Bachelor's,Space Engineer (Space Tech) Variant 311,13.7,Growing
396,Management,Science (PCM/CS),B.Sc Data Science,10+2 + Bachelor's,Operations Manager (Management) Variant 312,6.9,Emerging
397,FinTech,Science (PCM),B.Tech CSE,10+2 + JEE,Blockchain Specialist (FinTech) Variant 313,14.2,Stable
398,Education,Science (PCB),B.Sc Nursing,10+2 + NEET,School Administrator (Education) Variant 314,9.9,Evergreen
399,E-Commerce,Any Stream,BA Psychology,Bachelor's + UPSC,E-Commerce Manager (E-Commerce) Variant 315,9.0,Emerging
400,Media & Design,Commerce,B.Com,10+2 + CLAT,Graphic Designer (Media & Design) Variant 316,23.9,Evergreen
401,Management,Science (PCM/CS),B.Tech CSE,10+2 + JEE,HR Manager (Management) Variant 317,3.6,Emerging
402,Science & Research,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Chemist (Science & Research) Variant 318,11.2,High
403,Hospitality & Travel,Science (PCB),BDS,10+2 + NEET,Chef (Hospitality & Travel) Variant 319,5.9,High
404,Management,Science (PCB),BDS,10+2 + NEET,HR Manager (Management) Variant 320,7.2,Stable
405,Government & Defense,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Defense Analyst (Government & Defense) Variant 321,11.5,Emerging
406,FinTech,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Digital Banker (FinTech) Variant 322,23.8,High
407,Media & Design,Commerce,BHM,10+2 + Bachelor's,Graphic Designer (Media & Design) Variant 323,20.6,Growing
408,Science & Research,Science (PCM/CS),B.Sc Data Science,Bachelor's + Cert,Chemist (Science & Research) Variant 324,8.9,Emerging
409,Agriculture & Allied,Science (PCB),BDS,10+2 + NEET,Farm Manager (Agriculture & Allied) Variant 325,6.7,Emerging
410,Space Tech,Commerce,B.Com,Bachelor's + UPSC,Satellite Technician (Space Tech) Variant 326,17.7,Stable
411,Agriculture & Allied,Science (PCB),MBBS,10+2 + NEET,Agricultural Engineer (Agriculture & Allied) Variant 327,15.9,Growing
412,Arts & Humanities,Science (PCB),B.Sc Nursing,10+2 + NEET,Philosopher (Arts & Humanities) Variant 328,21.9,High
413,Green Energy,Science (PCM),B.Sc Data Science,Bachelor's + UPSC,Renewable Energy Engineer (Green Energy) Variant 329,17.2,Stable
414,Government & Defense,Science (PCB),BDS,10+2 + NEET,Civil Servant (Government & Defense) Variant 330,4.2,Stable
415,Management,Any Stream,BHM,10+2 + Bachelor's,Startup Founder (Management) Variant 331,4.8,Emerging
416,AI & ML,Any Stream,B.Com,10+2 + CLAT,Metaverse Designer (AI & ML) Variant 332,9.9,Emerging
417,Education,Science (PCM),B.Tech Civil,10+2 + JEE,Professor (Education) Variant 333,19.8,High
418,Hospitality & Travel,Science (PCM),B.Pharma,10+2 + NEET,Chef (Hospitality & Travel) Variant 334,10.7,Stable
419,Healthcare,Science (PCB),B.Pharma,10+2 + NEET,Ayurvedic Doctor (Healthcare) Variant 335,18.6,Emerging
420,Arts & Humanities,Arts,BHM,10+2 + Bachelor's,Artist (Arts & Humanities) Variant 336,18.5,Stable
421,Hospitality & Travel,Arts,BA Psychology,10+2 + CLAT,Travel Agent (Hospitality & Travel) Variant 337,10.3,Growing
422,Finance & Commerce,Science (PCM),B.Tech Civil,10+2 + JEE,Tax Consultant (Finance & Commerce) Variant 338,24.3,Stable
423,Agriculture & Allied,Science (PCM),B.Sc Data Science,Bachelor's + Cert,Agri-Business Manager (Agriculture & Allied) Variant 339,19.0,Emerging
424,Law,Science (PCB),B.Com,Bachelor's + UPSC,Legal Advisor (Law) Variant 340,20.4,Growing
425,E-Commerce,Science (PCM),B.Pharma,10+2 + NEET,Online Retail Specialist (E-Commerce) Variant 341,3.1,High
426,Management,Science (PCB),MBBS,10+2 + NEET,Operations Manager (Management) Variant 342,6.1,Emerging
427,FinTech,Science (PCM),B.Tech CSE,10+2 + JEE,Blockchain Specialist (FinTech) Variant 343,17.3,Stable
428,Finance & Commerce,Science (PCM),B.Tech Aerospace,10+2 + JEE,Financial Analyst (Finance & Commerce) Variant 344,21.9,High
429,Engineering,Science (PCB),MBBS,10+2 + NEET,Aerospace Engineer (Engineering) Variant 345,6.2,Stable
430,E-Commerce,Science (PCB),BDS,10+2 + NEET,Supply Chain Analyst (E-Commerce) Variant 346,23.5,High
431,Government & Defense,Science (PCB),MBBS,10+2 + NEET,Defense Analyst (Government & Defense) Variant 347,4.8,Growing
432,Law,Commerce,B.Com,Bachelor's + Cert,Corporate Lawyer (Law) Variant 348,18.2,Emerging
433,IT & Technology,Commerce,B.Com,Bachelor's + UPSC,Cloud Architect (IT & Technology) Variant 349,15.6,Growing
434,Education,Science (PCB),B.Pharma,10+2 + NEET,School Administrator (Education) Variant 350,8.1,High
435,FinTech,Any Stream,LLB,Bachelor's + UPSC,FinTech Developer (FinTech) Variant 351,17.4,Stable
436,E-Commerce,Science (PCB),MBBS,10+2 + NEET,E-Commerce Manager (E-Commerce) Variant 352,8.0,Growing
437,Education,Science (PCM/CS),B.Tech CSE,10+2 + JEE,Professor (Education) Variant 353,9.8,High
438,Gig Economy,Science (PCB),BDS,10+2 + NEET,Platform Developer (Gig Economy) Variant 354,13.7,Emerging
439,Engineering,Commerce,B.Sc Data Science,Bachelor's + UPSC,Robotics Engineer (Engineering) Variant 355,19.9,Stable
440,Finance & Commerce,Science (PCB),BDS,10+2 + NEET,ESG Analyst (Finance & Commerce) Variant 356,18.4,High
441,E-Commerce,Science (PCM),B.Tech Civil,10+2 + JEE,Supply Chain Analyst (E-Commerce) Variant 357,4.8,Growing
442,FinTech,Science (PCB),MBBS,10+2 + NEET,FinTech Developer (FinTech) Variant 358,8.4,Stable
443,FinTech,Science (PCB),BDS,10+2 + NEET,FinTech Developer (FinTech) Variant 359,21.8,Emerging
444,Healthcare,Science (PCB),B.Sc Nursing,10+2 + NEET,Pharmacist (Healthcare) Variant 360,13.6,Growing
445,Arts & Humanities,Any Stream,LLB,10+2 + CLAT,Historian (Arts & Humanities) Variant 361,10.7,Growing
446,Arts & Humanities,Commerce,B.Com,Bachelor's + UPSC,Artist (Arts & Humanities) Variant 362,23.3,Evergreen
447,Engineering,Science (PCM),B.Tech Civil,10+2 + JEE,Mechanical Engineer (Engineering),15.0,Stable
448,Green Energy,Science (PCB),MBBS,10+2 + NEET,Environmental Analyst (Green Energy) Variant 363,22.3,Emerging
449,Cybersecurity,Science (PCB),BDS,10+2 + NEET,Incident Responder (Cybersecurity) Variant 364,17.0,High
450,AI & ML,Science (PCM),B.Tech Civil,10+2 + JEE,AI Researcher (AI & ML) Variant 365,13.4,Evergreen
451,Healthcare,Commerce,BHM,10+2 + Bachelor's,Dentist (Healthcare) Variant 366,14.3,Evergreen
452,Arts & Humanities,Science (PCM/CS),B.Tech CSE,10+2 + JEE,Artist (Arts & Humanities) Variant 367,9.0,Evergreen
453,Gig Economy,Science (PCM),B.Tech Civil,10+2 + JEE,Platform Developer (Gig Economy) Variant 368,15.2,High
454,FinTech,Science (PCM/CS),B.Sc Data Science,10+2 + CLAT,Digital Banker (FinTech) Variant 369,24.5,Emerging
455,Science & Research,Science (PCM),B.Tech Aerospace,10+2 + JEE,Physicist (Science & Research) Variant 370,14.2,Growing
456,Space Tech,Science (PCM),B.Tech CSE,10+2 + JEE,Satellite Technician (Space Tech) Variant 371,24.0,Growing
457,FinTech,Science (PCB),MBBS,10+2 + NEET,Blockchain Specialist (FinTech) Variant 372,14.1,Stable
458,Management,Science (PCM),B.Tech Aerospace,10+2 + JEE,Supply Chain Manager (Management) Variant 373,21.0,Growing
459,Space Tech,Science (PCM),B.Tech Civil,10+2 + JEE,Satellite Technician (Space Tech) Variant 374,12.4,Emerging
460,Gig Economy,Commerce,B.Sc Data Science,10+2 + Bachelor's,Platform Developer (Gig Economy) Variant 375,17.5,Growing
